#Word;Pleasantness;Activation;Imagery
dejado;1.7500;1.5000;2.2
dejamiento;1.5714;2.0909;1.8
dejar;1.61403571429;1.85762857143;1.8
dejar al descubierto;1.9091;2.3636;2.8
dejar a un lado;2.0769;1.5000;1.4
dejar caer;1.2857;1.92855;2.3
dejar constancia de;2.2000;1.8333;2.6
dejar de;1.5714;1.7143;1.6
dejar descansar;2.29165;1.52085;2.6
dejar de ver;1.2000;1.6000;1.8
dejar en;2.0000;1.5556;2.6
dejar en estado confuso;1.8571;1.3333;2.8
dejar en garaje;1.5000;1.2500;2.8
dejar en testamento;1.8333;1.4000;1.0
dejar indeciso;1.8571;1.3333;2.8
dejar lugar;1.875;2.0625;2.0
dejar perplejo;1.66665;2.41965;2.1
dejar perplejo de;1.92425;1.85095;3.0
dejar que se canse;2.5556;2.7778;1.8
dejar reposar;2.0000;1.4000;1.6
dejarse;1.83335;1.6278;1.8
dejarse caer;1.0000;1.8571;2.6
dejar sin aliento;2.0000;2.0000;2.4
dejar sin concretar;1.8571;1.3333;2.8
dejar solo;1.2000;1.6000;1.8
dejar una propina;2.1429;1.8000;2.2
dejar vacío;1.3000;1.0000;3.0
dejar ver;2.2500;1.6667;2.2
deje;1.3333;2.0000;1.8
dejillo;1.3333;2.0000;1.8
dejo;1.70968;2.02358;1.96
de jornada completa;1.6000;1.7143;1.6
de la derecha;1.8750;1.5000;2.0
de la derecha moderada;2.1429;2.3333;2.4
de la izquierda;1.8750;1.5000;2.0
de la mano de obra;1.4000;1.6667;2.8
de la misma manera;2.2500;1.3636;1.4
delantera;2.1429;1.9091;2.2
delantero;1.8778;1.6818;2.3
delanteros;1.4444;2.4444;2.2
delatado por;1.8571;1.3333;1.2
del bosque;1.7143;1.3333;2.8
del comienzo;2.1429;1.9091;2.2
delegación;1.8333;1.7143;1.6
delegado;1.68335;1.66365;2.7
deleitar;2.3750;2.2222;2.4
deleite;2.6713;2.27186666667;2.26666666667
del este;1.8155;1.6607;1.7
deletrear;2.0000;1.7500;1.0
del fondo;1.4444;1.7000;2.6
delgado;1.0000;1.6000;1.4
deliberado;1.6364;2.0833;1.4
de libertad;1.6364;1.5714;2.0
delicado;1.54626666667;1.7148;2.4
de licenciatura;2.0000;1.6000;2.0
delicia;2.3750;2.2222;2.4
delicioso;3.0000;1.8889;1.6
delictivo;1.3750;2.5455;3.0
delincuente;1.10415;2.4861;2.0
delineante;2.1111;1.7000;2.6
delinear;1.825;1.9091;1.9
delirar;1.3750;2.5556;2.0
delirio;1.3750;2.5556;2.0
de literas;1.6667;1.3333;1.2
delito;1.33333333333;2.57996666667;2.13333333333
del mismo modo;2.2500;1.3636;1.4
del mundo;2.6667;2.5000;2.4
de loco;1.4444;1.3750;2.0
de lo lejos;1.5000;1.6667;2.2
de los campos;2.1111;2.0000;2.0
del piso de abajo;1.6250;1.6250;3.0
del río;2.1667;1.6667;2.8
del sexo femenino;2.3333;1.9000;3.0
de luz;1.8000;1.4444;3.0
del viento;2.2727;2.1000;2.0
demanda;1.753575;2.2078375;2.025
demanda capital;2.0000;2.1818;2.2
demandado;1.6667;1.7000;2.6
demandante;1.78146666667;2.05556666667;2.66666666667
demandar;1.73215;2.07935;1.7
demanda rigurosa;2.0000;2.1818;2.2
de mano dura;1.6250;1.8333;2.0
de marcha;2.2000;2.0000;2.4
de marcha atrás;1.6250;1.6250;2.2
de más;2.2222;2.0000;1.8
demás competidores;1.2000;2.1000;1.8
demasía;1.8750;1.7778;1.4
de menores;1.66665;1.55;2.0
de mentiras;1.0000;1.5833;1.0
de milagro;1.0000;1.6250;2.2
demócrata;1.6000;1.5455;2.0
de moda;2.3333;2.6667;1.0
de modo que;1.8462;1.7273;1.0
de modo tirante;1.5833;1.6000;2.2
demonio;1.59256666667;1.65833333333;2.26666666667
demora;2.0818;1.56665;1.5
demorar;1.3636;1.3333;1.6
demorarse;1.3636;1.3333;1.6
demostración;1.6812625;1.9473875;2.1
demostrado;2.0909;2.1818;2.0
demostrar;2.0625;1.86895;2.15
de muchas horas;1.7143;1.4000;2.0
de muchos años;1.7143;1.4000;2.0
de muchos platos;2.1000;2.2727;1.2
de mujeres;2.3333;1.9000;3.0
denegación;1.22953333333;1.9537;1.53333333333
denegar;1.4143;2.22915;1.9
de nieve;2.3333;1.4000;3.0
denigrar;1.4643;2.1875;2.9
de ningún modo;1.2222;1.4444;1.2
de niños;2.8333;2.0000;3.0
de nobleza;2.1111;1.5556;1.2
denominar;1.64585;1.6607;1.7
densidad;1.7889;1.3875;2.2
denso;1.68333333333;1.7037;2.26666666667
dentadura;2.1250;2.0000;3.0
dentadura postiza;1.7000;1.4000;3.0
dentar;1.7778;2.1250;2.2
dentellada;1.2857;2.5556;2.8
dentista;1.8333;2.1429;3.0
dentro;1.7738;1.5;1.66666666667
dentro de;1.5714;1.5000;1.0
de nuevo;1.8333;1.3750;2.6
denuncia;1.3889;1.71365;1.7
denunciado;1.8571;1.3333;1.2
denunciado por algo;1.8571;1.3333;1.2
denunciar;2.1389;2.4365;2.6
de orden primero;1.9000;1.3333;1.4
deparar;1.74443333333;2.10556666667;1.33333333333
departamento;1.779525;1.6083625;2.2
departamento de una cuadra;1.2857;1.5000;3.0
de parte;2.0000;1.0000;1.0
de parte a parte;1.7500;1.5000;1.2
de párvulos;2.8333;2.0000;3.0
de paso;1.8000;2.3000;1.6
de pega;1.3333;1.8000;1.4
de pena;1.6250;1.8333;2.0
dependencia;1.5714;2.0000;1.2
dependienta;2.25825;2.3125;3.0
dependiente;1.89835;2.010425;2.55
de peques;2.8333;2.0000;3.0
de piedra;1.8333;1.4000;3.0
de piso;1.3750;1.0000;3.0
de pizarra;1.5000;1.6667;2.0
de plástico;1.3333;1.1667;2.4
de plata;2.6667;1.7143;3.0
de plomo;2.1429;1.9091;2.2
deponente;2.0000;1.8333;1.6
deportar;1.6667;2.6250;2.8
deporte;2.06666666667;2.30093333333;2.6
deporte parecido al golf;2.0000;2.1667;1.6
deportes;2.6667;2.8000;2.8
depositar;1.9167;1.7692;1.6
depositar en un banco;1.8571;1.7778;3.0
depositar incrustaciones en;1.8750;1.2857;2.6
depositarse;2.0000;1.3333;1.8
depósito;1.83021428571;1.47285714286;2.31428571429
depósito de granos;2.0000;2.4286;3.0
depreciación;1.5455;1.6667;1.0
depresión;1.3485;1.49403333333;2.46666666667
depresión nerviosa;1.0000;2.6250;2.0
deprimente;2.0000;1.2500;2.8
de primera calidad;1.72225;1.83335;1.4
de prisa;1.2857;1.5714;1.8
de profesión;2.0000;2.4286;2.2
de profundidad;1.4444;1.0833;1.4
de qué manera;1.4000;1.1429;1.0
derechista moderado;2.1429;2.3333;2.4
derecho;1.94973333333;1.59845555556;1.86666666667
derecho de votar;1.8000;1.8889;2.2
derecho estatal;1.5714;1.7500;2.2
derechos;1.71875;1.7464;1.7
de referencia;2.0000;1.5000;1.8
de repuesto;2.2222;2.0000;1.8
de retaguardia;1.4000;1.5000;2.0
de río;2.1667;1.6667;2.8
de riqueza;3.0000;1.8889;1.6
derivación;1.675;1.7014;2.6
derogación;1.5000;2.1818;1.6
derrama;2.4000;1.8333;2.0
derramar;1.7524875;1.85;2.325
derretimento;1.8333;1.3333;2.8
derretir;1.8750;1.7500;1.2
derribar;1.66728571429;1.90937142857;2.4
derribar algo;2.0000;2.7143;2.8
derribar de un golpe;1.8889;1.4000;2.8
derribo;2.0000;2.7143;2.8
derrochar;1.0000;2.2000;1.8
derroche;1.0000;2.2000;1.8
derrota;1.545525;2.238125;2.45
derrotar;1.2361;2.40575;2.45
desacato;1.1111;1.5556;1.2
desacierto;1.5714;2.0000;1.4
desacomodar;1.3333;2.2308;1.0
desacreditar;1.2222;1.5556;1.8
desactivar;1.6000;1.3750;2.8
desacuerdo;1.7607;1.8619;1.46666666667
desafecto;1.2222;1.4167;1.0
desafiador;1.6667;2.7778;1.2
desafiar;1.83335;2.02525;1.9
desafío;1.6667;2.7778;1.2
desaguadero;1.2727;2.4545;2.6
desaguar;1.28635;1.72725;2.8
desagüe;1.2078;2.0844;2.4
desahogo;3.0000;1.7500;2.6
desairar;1.1;1.6;1.6
desajuste;1.35715;2.14585;2.2
de sal;1.6364;1.7000;2.8
desaliento;1.5455;1.5000;2.4
desalineado;2.4000;2.0000;1.4
desalojamiento;1.4444;1.6667;1.0
desalojar;1.87725;1.3182;2.5
desamor;1.3750;1.8750;2.2
desamparo;1.0000;2.0000;1.4
desangrar;1.2727;2.4545;2.6
desanimarse;1.2857;1.8571;2.0
desapacible;1.2857;1.4444;2.0
desaparecer;1.8125;2.05;2.1
desaparecer de;1.0000;1.8571;2.6
desaparecido;1.0000;1.1250;1.8
desaparición;1.8000;2.3000;1.6
desapego;1.6667;1.4545;1.0
desaprobación;1.3636;1.8333;1.6
desaprobar;1.4286;1.5556;2.6
desaprovechar;1.0000;2.2000;1.8
desarmamiento;2.0000;2.0909;1.2
desarmar;2.0000;1.7273;3.0
desarreglo;1.3333;2.6000;1.8
desarrollar;2.0000;1.4000;1.6
desarrollarse;1.8333;1.4286;2.6
desarrollo;2.2635;2.39875;1.85
desarzonar;2.0000;2.7143;2.8
desasosiego;1.0000;2.8000;1.4
desastre;1.3333;2.5000;2.8
desatado;2.04083333333;2.0238;1.73333333333
desatar;1.6364;1.5714;2.0
desatascar;2.4545;1.6364;2.0
desatención;1.3143;1.5;1.7
desatender;1.2000;1.6000;1.8
desatento;2.5000;1.8000;1.0
desatinos;1.1818;1.8182;1.2
desavenencia;1.34166666667;2.00596666667;1.46666666667
desayunar;2.5000;1.5556;3.0
desayuno;2.5000;1.5556;3.0
desazón;1.0000;2.8000;1.4
desbastar;2.4;1.62725;2.2
desbaste;2.2500;1.6000;2.2
desbocamiento;1.6364;2.5833;2.2
desbocarse;1.3182;2.69165;2.0
desbordar;1.3333;2.6364;2.6
desbordarse;1.3333;2.6364;2.6
desbrozar;2.4545;1.6364;2.0
descabellado;2.1111;2.0000;2.0
descalabro;1.0000;1.7500;2.2
descamarse;1.8750;1.2857;2.6
descansado;2.5000;1.5714;1.4
descansar;1.90873333333;1.58966666667;2.2
descansar en;2.0909;1.7273;2.8
descanso;2.195675;1.84675;2.075
descarado;2.14205;2.375;1.5
descarga;1.3333;2.2308;1.0
descargar;1.76945;1.8827;1.9
descargarse;1.3333;2.2308;1.0
descargo;2.0;2.1154;1.3
descaro;1.64585;2.02085;2.6
descartar;1.75275;2.0625;1.7
descascarar;2.04545;1.48335;2.2
descendencia;1.90706666667;1.6619;2.0
descendente;1.2000;2.1667;2.6
descender;1.79315;1.9194;2.2
descenso;1.58808;2.03576;2.2
descentrado;2.4000;2.0000;1.4
descerco;3.0000;1.7500;2.6
descerrajar;1.6250;2.7000;1.8
descifrar;1.9125;2.195575;2.25
descolar;1.7778;1.7143;2.6
descollar entre;1.7500;1.2857;2.8
descolorarse;1.5714;2.1667;2.6
descomposición;1.0000;2.6250;2.0
descompuesto;2.0000;2.3333;2.2
desconcertar;1.81943333333;2.36403333333;2.4
desconcertar en algo;1.7500;2.0000;3.0
desconchar;1.7273;1.7273;2.6
desconcharse;1.80115;1.5065;2.6
desconcierto;1.2857;2.1429;2.2
desconectado;1.6364;1.5714;2.0
desconfianza;1.697;1.65155;1.8
descongestión;3.0000;1.7500;2.6
desconocido;1.4643;1.60953333333;1.53333333333
desconocimiento;1.16235;1.57725;1.9
descontar;2.0769;1.5000;1.4
descortezar;1.0000;2.0000;3.0
describir;1.925;1.75646666667;2.8
descripción;1.8485;1.79717777778;1.88888888889
descripción de;1.85715;1.49285;2.0
descuartizar;2.2500;1.4000;2.6
descubrimiento;1.98923333333;2.4449;1.56666666667
descubrir a;2.23966666667;1.92273333333;1.6
descubrir por;1.74603333333;2.13333333333;2.53333333333
descuento;1.93633333333;1.68056666667;1.53333333333
descuidar;1.1;1.9875;2.1
descuido;1.091675;1.7254;1.7
desde el principio hasta el fin;1.79165;1.55;1.3
desdén;1.7778;1.8571;1.4
desde que;1.7778;1.4000;1.0
desdicha;1.05556666667;1.6488;2.0
desdichado;1.2500;1.3636;1.4
deseado de alcanzar algo;2.3333;2.6667;1.0
desear;2.24763333333;1.88056666667;1.4
desear a soltar;1.6364;1.5714;2.0
desear saber;2.1667;2.0000;1.0
desecar;1.2727;2.4545;2.6
desechar;1.75275;2.0625;1.7
desecho;1.4000;1.8333;1.8
desechos;1.0000;2.2000;1.8
de seda;3.0000;1.8750;2.8
desegregación;2.1250;1.7778;1.4
de segundo orden;1.2000;1.2000;1.4
desembarazarse;2.4545;1.6364;2.0
desembarazo;1.0000;2.0000;1.4
desembarcar;2.125;1.625;2.8
desembarco;1.5000;1.8000;2.2
desembocadura;2.0000;1.5000;3.0
desembocar;2.2222;1.7273;1.4
desembolso;1.8750;1.8889;1.8
desembriagar;2.6667;1.6000;1.6
desempeñar;1.86773333333;2.46953333333;1.93333333333
desempeñar el papel de;1.7143;2.4000;3.0
desempeño;1.77775;2.44875;1.6
desempleo;1.3750;1.7143;1.8
desempolvar;1.3636;1.3636;2.6
desencadenar;1.40155;1.9857;2.3
desencadenarse;1.232575;2.4551;2.05
desenfado;1.0000;2.3750;2.4
desenfrenado;1.627;2.05555;1.9
desenfreno;2.0000;1.6000;2.8
desenganchar;2.6667;2.0000;1.6
desenlace;1.798;1.38096666667;2.06666666667
desenmascaramiento;1.5000;2.2727;2.0
desensibilizamiento;2.1250;1.7778;1.4
desenvainar;2.0909;1.6667;3.0
desenvoltura;1.8852;1.94656666667;1.86666666667
desenvolver;1.9091;2.3636;2.8
desenvolvimiento;2.2929;2.43335;1.5
deseo;2.14405;1.760425;1.3
deseo intenso;1.5714;1.8000;1.0
deseo querido;1.5857;2.04165;2.2
deserción;1.0000;2.0000;1.4
de servicio;2.0000;1.8333;1.6
desescombrar;2.4545;1.6364;2.0
desesperación;1.5000;1.9091;1.6
desesperar;1.80555;2.17675;2.1
desesperarse;1.5000;1.9091;1.6
desestimación;1.7768;2.1111;2.3
desestimar;1.9286;2.36805;2.5
desfachatez;1.875;1.6597;3.0
desfallecer;1.0;1.8091;1.4
desfallecido;1.1818;1.5833;2.2
desfase;1.7143;1.6667;2.4
desfibrar;1.3333;1.0000;2.4
desfigurar;2.0000;1.3750;2.2
desfiladero;1.784825;1.802775;2.4
desfilar;2.07145;2.36905;2.5
desfile;2.4286;2.5714;3.0
desgarbado;1.0000;1.8182;1.8
desgarrar;1.1250;2.5000;2.8
desgarrón;1.1250;2.5000;2.8
desgastar;1.58235;2.3892;1.8
desgastarse;1.70635;2.1875;2.0
desgaste;1.45835;2.1909;1.8
desglose;1.0000;2.6250;2.0
desgobernado;2.1111;2.0000;2.0
desgracia;1.248725;1.8264;1.8
desgraciado;1.375;1.5551;1.8
desgraciar;1.2222;1.5556;1.8
desgranarse;1.8750;1.2857;3.0
desgravación;3.0000;1.7500;2.6
desguazado;1.7500;2.3333;1.4
deshacer;1.175;2.31313333333;2.53333333333
deshacerse;1.7000;1.5000;3.0
deshacerse por;1.5238;1.6898;2.4
desherbar;1.8889;1.5000;2.4
deshierbar;1.8889;1.5000;2.4
deshilachar;1.6667;2.1111;2.2
deshollinador;1.1667;1.7500;2.6
deshollinar;1.1667;1.7500;2.6
deshonesto;1.7500;2.2000;2.8
deshonra;1.1111;1.6528;1.6
deshonrar;1.1111;1.6528;1.6
deshuesar;1.45535;1.5;2.8
desierto;1.72841428571;1.71507142857;2.65714285714
designación;1.5861;1.73146666667;2.06666666667
designar;1.741675;1.655725;1.8
designio;1.8889;2.1111;1.6
desigual;1.6250;2.0000;2.2
desilusión;1.6667;1.8571;1.4
desincrustar;1.8750;1.2857;2.6
desinencia;2.0000;1.0000;2.0
desinfectante;1.5000;1.7000;2.2
desinflado;1.3750;1.0000;3.0
desistir de;1.0000;2.3750;2.4
desleal;1.0000;2.0000;1.4
desleír;1.8750;2.0000;2.8
desliz;1.6667;2.25715;2.7
deslizadero;2.0000;2.4444;2.6
deslizar;1.529775;1.70635;2.55
deslizarse;1.53176666667;2.09456666667;2.73333333333
deslucido;1.1429;1.4286;2.8
deslumbrar;1.66665;1.88095;2.1
deslumbro;2.3333;2.3333;1.6
deslustrado;1.7778;1.5556;2.4
deslustrar;1.3077;1.3846;2.2
desmallarse;1.7143;1.3636;3.0
desmán;1.8750;1.7778;1.4
desmandado;2.1111;2.0000;2.0
desmandarse;1.0000;2.8000;1.8
desmayado;1.1818;1.5833;2.2
desmayarse;1.1818;1.5833;2.2
desmayo;1.5714;2.1667;2.6
desmedido;1.7143;2.2500;1.4
desmentido;1.3636;1.9167;1.2
desmesura;1.8750;1.7778;1.4
desmesurado;1.7143;2.2500;1.4
desmontar;1.75;1.95635;2.5
desmoronamiento;1.5000;1.8889;2.6
desmoronarse;1.5000;1.8889;2.6
desmotadera de algodón;1.8333;1.6250;2.2
desnatado;1.4286;1.5000;2.4
desnatar;1.3750;1.7143;2.6
desnivel;1.675;1.3889;2.8
desnudar;2.0000;2.0000;2.6
desnudarse;2.0000;2.0000;2.6
desnudo;2.0000;2.5000;2.8
de sobra;2.2222;2.0000;1.8
desocupado;1.601275;1.71875;2.05
desocupar;1.3000;1.0000;3.0
desolado;1.2857;1.4444;2.0
desollar;2.0000;2.0000;3.0
de soltero;1.8000;2.1667;2.0
desorden;1.09523333333;2.18836666667;1.73333333333
desordenar;1.0000;1.6250;2.6
desoxidar;1.8750;1.2857;2.6
despabilarse;1.8571;2.5556;2.8
despachar;1.9147;1.755925;1.8
despachar a;1.7500;1.6667;2.2
despachar con recado;1.45715;1.92855;1.0
despacho;1.82668;1.91184;2.36
despacio;1.1111;1.4000;2.2
desparramarse;2.27775;2.05;2.7
despecho;1.1667;2.6000;1.2
despedazar;1.1250;2.5000;2.8
despedida;1.4861;2.00656666667;1.8
despedir;2.0;2.31503333333;1.8
despedirse de;1.54233333333;1.82736666667;2.4
despeinado;1.6250;2.0000;2.2
despejado;2.44316666667;1.689;2.06666666667
despejar;1.81816666667;1.5825;2.2
despellejar;1.0;1.94445;2.7
despellejarse;2.0000;2.0000;3.0
despepitar;1.8750;1.2857;3.0
desperdiciar;1.0000;2.2000;1.8
desperdicio;1.0000;2.2000;1.8
desperdicios;1.46666666667;1.773;1.93333333333
desperfectos;1.5000;2.2222;2.8
despertar;1.58333333333;1.89166666667;2.2
despertarse;1.67855;2.1778;2.4
despido;1.2857;1.5714;2.0
despierto;2.0000;2.5000;2.2
despilfarrar;1.0000;2.2000;1.8
despilfarro;1.0000;2.2000;1.8
desplazamiento;1.4444;1.6667;1.0
desplazamiento lateral;1.18335;2.0;1.8
desplazarse;1.64603333333;2.33333333333;1.73333333333
desplegado;2.0909;2.1818;2.0
desplegar;1.70151666667;2.04746666667;2.23333333333
despliegue;1.95;2.0409;2.1
desplomarse;2.0000;1.4444;3.0
desplome;2.0000;1.4444;3.0
desplumar;1.6667;2.1111;2.2
despoblado;1.4545;1.5833;2.4
despojar;2.0000;2.0000;3.0
despojarse de;1.5635;1.8125;2.1
despojos;1.83335;1.64285;2.5
desportilladura;1.7273;1.7273;2.6
desportillar;1.7273;1.7273;2.6
desportillarse;1.7273;1.7273;2.6
desposada;2.3750;1.5556;3.0
desprecio;1.5714;1.7500;1.0
desprendimiento;1.1667;1.7143;2.6
despreocupación;1.0000;2.3750;2.4
despropósitos;1.1818;1.8182;1.2
después de;1.8000;1.2500;1.4
destacado;2.2000;2.0000;2.4
destacamento;2.03873333333;2.05;2.2
destacar;1.92763333333;1.6889;2.13333333333
destajo;2.3000;2.2500;2.6
destapado;1.9091;2.3636;2.8
destapar;1.9091;2.3636;2.8
destellar;1.5000;1.8571;3.0
destello;1.9643;2.04233333333;2.73333333333
destemplar;2.1429;1.1111;2.6
desterrar;1.5833;2.0769;1.2
destierro;1.5833;2.0769;1.2
destinado;1.5000;2.0000;1.2
destinar;1.704175;1.5452;1.85
destinar para;1.8;1.75;2.6
destinatario;2.4000;2.0000;2.4
destino;1.980925;1.73125;1.825
destitución;1.694425;2.0;1.5
destituir;1.75;1.834825;2.0
destornillar;1.5714;2.1667;2.6
destreza;2.6250;2.1111;1.2
destripar;1.625;1.9375;2.3
destrozado;1.7500;2.3333;1.4
destrozar;1.2;2.2197;2.4
destrucción;1.5000;2.6923;2.6
destruir;1.0000;2.0000;3.0
de su;1.6667;1.2727;2.0
desvalijar;1.3000;1.9000;3.0
desvariar;1.3750;2.5556;2.0
desvelos;1.0000;2.8000;1.4
desvencijar;1.2;2.2197;2.4
desventaja;1.35415;1.9375;1.5
desventura;1.25;1.875;1.8
desventurado;1.2500;1.3636;1.4
desvergonzado;2.3750;2.5000;1.2
desviación;1.67855;2.05555;1.4
desviarse;1.3238;2.20203333333;2.46666666667
desviar sobre;1.5714;2.1667;2.6
desvío;1.25;1.9192;1.5
desvivirse;1.5000;1.3750;2.2
detallado;2.09813333333;1.97236666667;1.66666666667
detallar;1.8889;1.4000;1.6
detalle;1.71853333333;1.61943333333;1.8
de tamaño pequeño;1.4444;1.0833;1.4
de teatro;2.5455;2.3333;1.8
detección;1.6000;2.1818;1.0
de techo;1.39285;2.0143;2.2
detective;1.8000;1.9091;2.8
detención;1.339575;2.314275;2.4
detener;1.67698;1.8003;1.84
detenerse;2.29165;1.52085;2.6
detergente;2.0000;1.3000;3.0
deteriorar;1.70835;2.03535;2.2
deterioro;1.9167;2.1818;1.8
determinación;2.24543333333;2.3106;1.53333333333
determinado;1.9722;1.65075;1.2
determinar;2.0595;1.8143;2.6
determinar el sexo de;2.4286;1.8333;2.6
determinar las dimensiones de;1.5714;2.0000;1.0
detestar;1.2000;2.5000;1.4
detesto;1.2111;2.3611;1.4
de tocador;1.3750;1.5000;3.0
de todos modos;1.5000;1.1250;1.0
de tráfico;1.1111;2.5000;2.8
de tránsito;1.1111;2.5000;2.8
detrás;1.61665;1.39585;2.3
detrás de;1.6;1.33335;1.7
deuda;1.61183333333;1.5503;1.73333333333
de ultramar;1.9091;1.6364;2.4
de un lado a otro;1.7500;1.5000;1.2
de vacación;3.0000;2.1429;2.4
de vacaciones;3.0000;2.1429;2.4
de vapor;1.6250;2.0000;2.8
devengar;2.0000;2.0000;3.0
devenir;1.8571;2.1111;1.8
de verano;3.0000;2.1429;2.4
de verdad;2.36666666667;1.91666666667;1.2
de viaje;2.38335;2.2889;2.5
de vida;2.2500;2.5455;1.2
devoción;2.42275;1.9129;1.4
devolución;2.0742;1.665075;2.5
devolución de la pelota;1.4444;2.3333;1.8
devolver;1.99536666667;1.67963333333;2.06666666667
devolver a;1.5714;2.1667;2.6
devorar;1.7143;1.8750;2.6
de vuelta;1.8333;1.3750;2.6
día;2.4444;1.5833;2.6
diablo;1.6597;2.1722;2.9
día dos;1.4286;1.3333;1.6
diáfano;2.0000;1.6364;2.6
día festivo;2.7143;2.4444;2.4
diagnosis;1.8182;2.0000;1.8
diagnóstico;1.74245;1.8;1.4
diagrama;1.7778;1.6000;3.0
diagramar;1.7778;1.6000;3.0
diagramatizar;1.7778;1.6000;3.0
dialecto;1.8125;2.38095;1.4
diálogo;2.10555;2.34845;2.9
diamante;1.8333;1.5000;2.6
diamante de vidriero;1.3333;2.8571;2.4
diámetro;1.8889;1.4000;2.0
diapositiva;2.0000;2.4444;2.6
diariamente;1.8571;1.7000;1.8
diario;1.65998;1.65238;2.48
diario de navegación;1.6000;1.3333;2.8
diario hablado;1.7778;2.3333;2.2
días festivos;2.7500;2.7000;2.4
día siguiente;1.1111;1.7143;1.6
dibujar;1.8125;1.810425;2.5
dibujar a escala;1.8750;1.2857;2.6
dibujar a lápiz;1.7000;1.4000;3.0
dibujar al carbón;1.7143;1.5714;3.0
dibujo;1.91935714286;1.72848571429;2.74285714286
diccionario;1.9167;1.4615;3.0
dicha;3.0000;2.8000;2.0
dicho;1.87342;2.01319;1.8
dicho adiós;2.0000;1.9000;2.6
dictadura;1.8333;2.0000;1.6
dictar;2.3333;2.3333;1.8
dictar condiciones;1.5000;1.1429;1.0
dicterio;1.4286;1.5556;1.2
diecinueve;2.0000;2.0000;1.8
dieciocho;1.8750;1.4444;2.8
dieciséis;1.6667;1.4286;2.6
dieciseisavo;1.6667;1.9000;2.6
diecisiete;2.1429;1.3333;2.2
diente;1.8889;1.7143;3.0
dientes;2.1250;2.0000;3.0
diestro;2.4286;2.0000;1.8
diestro en;1.8889;1.4000;2.8
dieta;1.6923;1.9286;2.4
dietas;1.4444;1.2857;1.6
diferencia;1.59019090909;1.77181818182;1.45454545455
diferencial;1.7500;1.4444;1.2
diferente;1.1667;1.5714;1.6
diferir;1.6250;1.2500;1.6
difícil;1.67222;1.79698;1.8
dificultad;1.410725;2.19605;1.2
dificultad encontrada;1.6667;1.7000;1.0
dificultades;1.3636;1.5833;1.0
difundir;1.88426666667;2.1619;2.13333333333
difundir por la red de emisoras;1.6250;2.0000;1.6
difunto;1.6250;1.4444;2.8
dignatario;1.7778;2.1111;2.8
dignidad;2.07806666667;1.90568333333;1.33333333333
digno de confianza;2.6250;1.2857;2.2
digresión;1.7143;1.5714;1.6
dijes;2.2000;2.1111;1.4
dilación;1.3636;1.3333;1.6
dilatación;2.3000;2.5455;2.6
dilecto;2.2500;1.7000;2.0
dilema;1.5000;2.2727;1.2
diligencia;1.9091;2.0000;2.6
diluir;2.1875;1.85715;2.9
diluvio;1.66665;2.4432;2.7
dimensión;1.7778;1.85;2.2
dimensiones;1.59285;1.98055;1.3
dimisión;1.2857;1.5714;2.0
dinámica;2.3333;2.6667;1.0
dinámico;2.3333;2.6667;1.0
dinamismo;2.0;2.4365;2.1
dinero;2.7639;2.03175;3.0
dinero a deuda;2.4000;1.6250;1.6
dinero a pagar;1.64585;1.4444;2.0
dinero contante;2.5000;2.0000;3.0
dinero corriente;1.6250;1.5455;2.8
dinero de bolsillo;2.5000;1.2857;2.6
dinero de dólar;2.5556;1.4444;3.0
dinero efectivo;2.5000;2.0000;3.0
dinero en menos;2.0769;1.5000;1.4
dinero invertido;2.0000;1.3750;1.2
dios;2.3333;2.5000;2.4
diplomacia;2.1429;1.8750;1.2
diputado;1.691675;1.631825;2.25
dique;1.8571;1.7778;3.0
dirección;1.80577692308;1.87737692308;1.8
dirección a;2.0000;1.4000;1.6
dirección al oriente;1.8571;2.0000;1.2
dirección de;1.45;2.0139;2.1
dirección escénica;2.0000;2.0000;1.8
directamente;2.2143;1.58335;1.9
directo;1.8750;1.4444;1.0
director;1.654225;1.862;2.425
directora;1.73215;1.75;2.5
dirigente;1.7500;1.8750;2.4
dirigible;2.0000;1.7273;3.0
dirigir;1.84719411765;1.90568823529;2.05882352941
dirigir a;1.7857;1.78335;2.1
dirigir para;1.875;2.25715;2.6
dirigirse;1.9375;1.7682;2.7
dirigirse a;1.8750;1.6364;2.8
dirigirse hacia;2.0000;2.0000;3.0
discapacitado;1.375;1.7013;2.7
discapaz;1.5000;1.5455;2.8
discernimiento;1.4778;1.7381;1.4
disciplina;1.7143;2.1250;1.4
disciplinar;1.85715;2.0625;2.1
disco;1.95303333333;1.75;2.86666666667
disco compacto;1.7500;1.5000;3.0
disconformidad;1.6667;2.3000;1.8
discordia;1.4286;1.8571;2.2
discreción;2.1111;1.5000;1.2
discrepancia;1.42425;2.0591;1.4
discriminación;1.1667;2.0000;1.8
disculpa;2.1667;1.5714;1.6
disculpar;2.1667;1.5714;1.6
discurrir;2.18453333333;2.07736666667;1.33333333333
discurso;1.78125;1.988475;1.65
discusión;1.51361428571;2.31928571429;2.17142857143
discutir;1.666675;2.150875;2.4
diseminarse;2.27775;2.05;2.7
diseñador;2.1111;1.7000;2.6
diseñar;1.625;1.5625;2.8
diseñar jardines;1.8000;1.5556;2.4
diseño;1.75;1.59723333333;2.8
disertación;1.6250;1.5556;1.0
disertar;1.6250;1.5556;1.0
